#số_phòng;kiểu;giá;trạng_thái
101;Single;500000;Ready
102;Single;500000;Ready
103;Suite;1500000;Ready
104;Double;800000;Ready
105;Single;500000;Ready
106;Single;500000;Ready
107;Single;500000;Ready
108;Double;800000;Ready
109;Double;800000;Ready
110;Single;500000;Ready
201;Single;500000;Ready
202;Single;500000;Repair
203;Suite;1500000;Ready
204;Double;800000;Ready
205;Suite;1500000;Ready
206;Suite;1500000;Ready
207;Single;500000;Ready
208;Double;800000;Ready
209;Double;800000;Ready
210;Double;800000;Ready
301;Single;500000;Ready
302;Double;800000;Ready
303;Single;500000;Ready
304;Single;500000;Ready
305;Single;500000;Ready
306;Suite;1500000;Ready
307;Suite;1500000;Ready
308;Single;500000;Ready
309;Double;800000;Ready
310;Single;500000;Ready
401;Suite;1500000;Ready
402;Suite;1500000;Ready
403;Single;500000;Ready
404;Double;800000;Ready
405;Double;800000;Ready
406;Single;500000;Repair
407;Double;800000;Ready
408;Double;800000;Ready
409;Double;800000;Repair
410;Double;800000;Ready
501;Single;500000;Ready
502;Single;500000;Ready
503;Single;500000;Ready
504;Suite;1500000;Ready
505;Suite;1500000;Ready
506;Suite;1500000;Ready
507;Single;500000;Ready
508;Single;500000;Ready
509;Suite;1500000;Repair
510;Suite;1500000;Ready
